CSD refcode,CIF filename
OPAPEB,opapeb_P1_H
OPAPIF,opapif_P1_H
OPAPOL,opapol_P1_H
OQIQUB01,oqiqub01_P1_charged_H
OQUWUU,oquwuu_P1_H
ORIVOC,orivoc_P1_H
ORIVUI,orivui_P1_H
ORIWAP,oriwap_P1_H
ORIWET,oriwet_P1_H
OSOBIK,osobik_P1_H
OSOCEH,osoceh_P1_H
OTUDEO,otudeo_P1_H
OTUDIS,otudis_P1_H
OVIZID,ovizid_P1_H
OVUQUU,ovuquu_P1_charged_H
OWAZOE,owazoe_P1_H
OXITOF,oxitof_P1_H
OXUPUT,oxuput_P1_H
OYADOK,oyadok_P1_H
OYAHAA,oyahaa_P1_charged_H
OYERER,oyerer_P1_charged_H
OZEMIQ,ozemiq_P1_charged_H
OZEMOW,ozemow_P1_charged_H
PACGIM,pacgim_P1_charged_H
PADBAZ,padbaz_P1_charged_H
PAPZAJ,papzaj_P1_H
PECKIV,peckiv_P1_H
PEFRUP,pefrup_P1_H
PEHQID,pehqid_P1_charged_H
PELRIJ,pelrij_P1_H
PEPFAT,pepfat_P1_H
PEWFII,pewfii_P1_H
PEXTUI,pextui_P1_H
PEYVEV,peyvev_P1_H
PIBNUK,pibnuk_P1_H
PIBNUK01,pibnuk01_P1_H
PIBPIA,pibpia_P1_H
PIKCUK,pikcuk_P1_charged_H
PIPKOR,pipkor_P1_charged_H
PIQFIG,piqfig_P1_H
PIQMUZ,piqmuz_P1_charged_H
PIRQOZ,pirqoz_P1_charged_H
PIZHUC,pizhuc_P1_charged_H
PIZNOB,piznob_P1_H
PIZPAP,pizpap_P1_H
PIZPET,pizpet_P1_H
PIZPIX,pizpix_P1_H
PIZPIX02,pizpix02_P1_H
PIZPOD,pizpod_P1_H
POBNEA,pobnea_P1_charged_H
PODCUJ,podcuj_P1_H
PODKOK,podkok_P1_H
PODKUQ,podkuq_P1_H
POHWIU,pohwiu_P1_H
POJNEI,pojnei_P1_charged_H
POKDIF,pokdif_P1_H
POKDIF01,pokdif01_P1_H
POKGEC,pokgec_P1_H
POMMAH,pommah_P1_charged_H
PONRES,ponres_P1_H
POSFOU,posfou_P1_H
POSWUS,poswus_P1_H
POXLIZ,poxliz_P1_H
POZHUI,pozhui_P1_charged_H
