CSD refcode,CIF filename
FUTDII,futdii_P1_charged
FUTTOF,futtof_P1_charged
FUTZOL,futzol_P1_charged
FUWXIF,fuwxif_P1_charged
FUYCEJ,fuycej_P1_charged_H
FUYCIN,fuycin_P1_charged_H
FUYKER,fuyker_P1_charged
FUZKAN,fuzkan_P1_charged
FUZRID,fuzrid_P1_charged_H
GAHQIT,gahqit_P1_charged
GAHROZ,gahroz_P1_charged
GAJVEU,gajveu_P1_charged_H
GAMFEI,gamfei_P1_charged
GAQKOB,gaqkob_P1_charged
GATBUZ,gatbuz_P1_charged
GATJIV,gatjiv_P1_charged
GAVYAG,gavyag_P1_charged
GAWZOX,gawzox_P1_charged
GECRAI,gecrai_P1_charged_H
GECYAS,gecyas_P1_charged
GEFTET,geftet_P1_charged
GEGBEB,gegbeb_P1_charged_H
GEGBOL,gegbol_P1_charged_H
GENGIR,gengir_P1_charged
GERWIL,gerwil_P1_charged_H
GERWOR,gerwor_P1_charged_H
GEVXIQ,gevxiq_P1_charged
GEZMIK,gezmik_P1_charged
GIFJUD,gifjud_P1_charged
GIKYIL,gikyil_P1_charged
GINDAL,gindal_P1_charged
GINHOD,ginhod_P1_charged_H
GIQHAQ,giqhaq_P1_charged
GISZUF,giszuf_P1_charged
GIVHIC,givhic_P1_charged
GIVNIK,givnik_P1_charged
GIVNOQ,givnoq_P1_charged_H
GIWCAR,giwcar_P1_charged
GIXTUF,gixtuf_P1_charged
GOBFUZ,gobfuz_P1_charged
GODDIP,goddip_P1_charged_H
GODMUK,godmuk_P1_charged_H
GODNAR,godnar_P1_charged
GODNIZ,godniz_P1_charged
GOSCAV,goscav_P1_charged
GOVKOU,govkou_P1_charged_H
GOXHEJ,goxhej_P1_charged
GUBPIE,gubpie_P1_charged
GUBPOK,gubpok_P1_charged
GUBPUQ,gubpuq_P1_charged
GUBQAX,gubqax_P1_charged
GUCDOA,gucdoa_P1_charged
GUFHUN,gufhun_P1_charged_H
GUFYUE,gufyue_P1_charged_H
GUHMIH,guhmih_P1_charged_H
GUJREK,gujrek_P1_charged_H
GUJREK01,gujrek01_P1_charged_H
GUKBUL,gukbul_P1_charged_H
GUKYUI,gukyui_P1_charged
GUMBIA,gumbia_P1_charged
GUTCEF,gutcef_P1_charged_H
GUTCIJ,gutcij_P1_charged_H
GUVYAA,guvyaa_P1_charged
GUXQUM,guxqum_P1_charged
GUXRAT,guxrat_P1_charged
GUXZIJ,guxzij_P1_charged
GUZQEA,guzqea_P1_charged
GUZVUU,guzvuu_P1_charged
HAFWUI01,hafwui01_P1_charged
HAFXOE,hafxoe_P1_charged
HAGCOL,hagcol_P1_charged
HAGTAN,hagtan_P1_charged
HAHTIX,hahtix_P1_charged
HAJDII,hajdii_P1_charged
HAKVIB,hakvib_P1_charged
HAKVUN,hakvun_P1_charged_H
HALNOB,halnob_P1_charged_H
HALNUH,halnuh_P1_charged_H
HAMLIT,hamlit_P1_charged_H
HANKUE,hankue_P1_charged_H
HAPBOT,hapbot_P1_charged_H
HAPZUW,hapzuw_P1_charged
HAQKES,haqkes_P1_charged_H
HAQRID,haqrid_P1_charged
HAQROJ,haqroj_P1_charged
HAVPUT,havput_P1_charged_H
HAVZIP,havzip_P1_charged_H
HAYLIE,haylie_P1_charged
HEFDON,hefdon_P1_charged
HEFDUT,hefdut_P1_charged_H
HEFFEF,heffef_P1_charged
HEGPER,hegper_P1_charged
HEHKUD,hehkud_P1_charged_H
HEHLAK,hehlak_P1_charged_H
HEHZAY,hehzay_P1_charged_H
HEJTOI,hejtoi_P1_charged
HEMTEZ,hemtez_P1_charged_H
HENSEB,henseb_P1_charged
HENSEB01,henseb01_P1_charged
HEPHIW,hephiw_P1_charged
HETCOB,hetcob_P1_charged_H
HIFVEZ,hifvez_P1_charged
HIFZAY,hifzay_P1_charged_H
HIHFUB,hihfub_P1_charged_H
HIMSAY,himsay_P1_charged
HINFER,hinfer_P1_charged
HIQJOI,hiqjoi_P1_charged
HIQKAV,hiqkav_P1_charged
HOCMOE,hocmoe_P1_charged_H
HOCXEF,hocxef_P1_charged
HOGJUK,hogjuk_P1_charged_H
HOKGUJ,hokguj_P1_charged
HOQMIL04,hoqmil04_P1_charged
HORBAU,horbau_P1_charged
HOWPOA,howpoa_P1_charged
HOWQER,howqer_P1_charged
HOWQER01,howqer01_P1_charged
HOWQER02,howqer02_P1_charged
HOZFIN,hozfin_P1_charged_H
HOZHOW,hozhow_P1_charged
HUFHEX,hufhex_P1_charged
HUFHIB,hufhib_P1_charged
HUFHOH,hufhoh_P1_charged
HUFJAV,hufjav_P1_charged
HUFJEZ,hufjez_P1_charged
HUHBET,huhbet_P1_charged
HUJVOX,hujvox_P1_charged
HUKQUZ,hukquz_P1_charged
HULTEP,hultep_P1_charged
HUMWET,humwet_P1_charged
HURGOR,hurgor_P1_charged
HURKOX,hurkox_P1_charged
HUSFAF,husfaf_P1_charged
HUSFEJ,husfej_P1_charged
HUSFIN,husfin_P1_charged
HUSFOT,husfot_P1_charged
HUSGAG,husgag_P1_charged
HUSGEK,husgek_P1_charged
HUVHOX,huvhox_P1_charged_H
HUVLUF,huvluf_P1_charged
HUVLUF01,huvluf01_P1_charged
HUWLUJ,huwluj_P1_charged
HUWMAP,huwmap_P1_charged
HUWMAQ,huwmaq_P1_charged
HUWMEU,huwmeu_P1_charged
HUWRAV,huwrav_P1_charged_H
HUWRID,huwrid_P1_charged_H
HUWROJ,huwroj_P1_charged
HUWRUP,huwrup_P1_charged
HUWSIE,huwsie_P1_charged_H
HUWSOK,huwsok_P1_charged
HUWSUN,huwsun_P1_charged
HUZFEO,huzfeo_P1_charged
HUZFIS,huzfis_P1_charged
HUZFOY,huzfoy_P1_charged
IBITUK,ibituk_P1_charged_H
IBIYOI,ibiyoi_P1_charged_H
IBOTIC,ibotic_P1_charged
IBOWIH,ibowih_P1_charged_H
IBUBEP,ibubep_P1_charged
IBULIE,ibulie_P1_charged
IBULIE01,ibulie01_P1_charged
ICAXIX,icaxix_P1_charged
ICITEU,iciteu_P1_charged_H
ICORAV,icorav_P1_charged
ICUDIX,icudix_P1_charged_H
IDIMIU,idimiu_P1_charged
IDIMOA,idimoa_P1_charged
IDOLIZ,idoliz_P1_charged
